date,price,dailyAverage,dailyVariance,volatilityAlert
2021-09-18T00:00:00,NA,48259.8,69203.26,False
2021-09-19T00:00:00,47824.16,47393.62,367522.6,True
2021-09-20T00:00:00,45678.03,43902.1,1028364.04,True
2021-09-21T00:00:00,42464.09,42325.8,784556.52,False
2021-09-22T00:00:00,41956.94,42890.47,438175.54,False
2021-09-23T00:00:00,44050.1,44261.77,188254.05,False
2021-09-24T00:00:00,NA,42717.43,909299.93,True
2021-09-25T00:00:00,42744.04,42547.97,34749.9,True
2021-09-26T00:00:00,42189.58,43095.04,583169.59,True
2021-09-27T00:00:00,43990.83,43221.13,313911.45,False
2021-09-28T00:00:00,42660.37,41785.72,128699.91,True
2021-09-29T00:00:00,42231.67,42071.24,415356.21,True
2021-09-30T00:00:00,43512.12,43401.28,91082.37,False
2021-10-01T00:00:00,43585.5,46787.83,2290490.8,True
2021-10-02T00:00:00,47575.73,47798.11,44846.99,True
2021-10-03T00:00:00,47892.59,48040.05,125334.68,True
2021-10-04T00:00:00,47761.49,48393.22,622987.34,False
2021-10-05T00:00:00,49130.91,50263.98,677466.84,False
2021-10-06T00:00:00,51329.3,53540.21,3062771.77,False
2021-10-07T00:00:00,55061.89,54194.18,115640.62,True
2021-10-08T00:00:00,53916.1,54473.05,268985.85,True
2021-10-09T00:00:00,54644.17,54831.05,32487.81,True
2021-10-10T00:00:00,55763.15,55325.45,137216.75,True
2021-10-11T00:00:00,56447.01,56969.3,178729.19,False
2021-10-12T00:00:00,56950.16,56531.89,403956.27,False
2021-10-13T00:00:00,56122.38,56313.13,1558284.95,False
2021-10-14T00:00:00,57904.02,57666.13,300516.3,True
2021-10-15T00:00:00,59555.95,60532.35,1180666.43,False
2021-10-16T00:00:00,61778.2,61155.32,190919.72,True
2021-10-17T00:00:00,60945.76,61030.11,432881.65,True
2021-10-18T00:00:00,62328.55,62329.42,32.83,False
